Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148
0.005779,0.000339,0.000308,0.011337,-0.00504,-0.00376,0.003482,0.009777,-0.00015,-0.00467,0.016401,0.006665,0.052196,-0.01416,1.016938,0.051685,0.073247,0.14711,0.196659,0.240525,0.17557,2.267209,0.052346,0.114596,0.39768,0.418968,0.40498,0.349339,175.9646,152.5359,237.5594,12.97591,-39.0516,-63.9178,50.42142,231.8835,-354.339,-24.5515,24.24735,62.85828,7.758837,-24.6793,1.016467,0.051661,0.073213,0.147042,0.196568,0.240414,0.175489,2.266158,0.052322,0.114543,0.397495,0.418774,0.404792,0.349177,0.107698,0.081525,0.047189,0.032284,0.027102,0.018747,0.00766,0.123701,0.086914,0.04537,0.052937,0.041868,0.018954,0.011437,0.300691,1.214725,0.894687,0.59545,0.506606,0.32666,0.15213,0.123059,1.201469,0.655851,0.342513,0.388439,0.167094,0.104594,1.762913,1.157515,0.769339,0.547461,0.406054,0.292276,0.143358,1.710986,1.119789,0.469207,0.230536,0.305784,0.147323,0.095096,4.742268,6.841647,5.386414,5.687036,7.770953,8.204659,6.982863,10.07414,-0.7497,-0.12759,-0.0346,0.265923,0.09623,-0.18451,0.331183,0.164015,0.119165,0.065462,0.062005,0.049875,0.026659,0.013766,422.314,2.883303,5.787983,23.52464,41.60093,62.56578,32.80702,3619.593,2.96536,14.12495,170.3719,191.8679,182.5594,137.6273,0.116667,5.416667,1.666667,0.466667,0.35,0.2,0.116667,0.066667,6.766667,0.75,0.3,0.25,0.116667,0.066667
0.008297,0.003963,-0.00102,0.000492,-0.00757,-0.00377,-0.01479,0.005799,0.00657,-0.00013,-0.00069,-0.00764,-0.00918,-0.01622,1.320745,0.123531,0.131111,0.197733,0.215408,0.309391,0.463562,1.685836,0.134218,0.135611,0.221793,0.361749,0.439111,0.317584,159.1902,31.17334,-128.668,401.6192,-28.4382,-82.1206,-31.3382,290.7094,20.4298,-1060.31,-321.605,-47.3637,-47.8336,-19.5843,1.320113,0.123472,0.131048,0.197638,0.215304,0.309243,0.46334,1.685029,0.134154,0.135546,0.221687,0.361576,0.438901,0.317432,0.222329,0.180813,0.094538,0.063363,0.03494,0.026233,0.012307,0.220646,0.172414,0.095824,0.066118,0.053072,0.038627,0.016366,0.483286,1.257776,0.974973,0.571973,0.528111,0.345462,0.081668,0.281336,1.253055,0.890474,0.58341,0.480153,0.335855,0.187713,1.250199,1.224405,0.935186,0.504783,0.421891,0.251296,0.081374,0.590166,1.248,0.858689,0.516103,0.276728,0.170032,0.16058,4.266986,6.155959,5.34593,5.060916,7.712546,7.301358,6.951772,10.02929,-0.94588,-0.34743,-0.36461,-0.54175,-0.45572,-0.77378,-0.42774,0.313233,0.24984,0.134609,0.091578,0.06354,0.046693,0.020477,776.5335,15.93222,17.95053,40.91423,48.60893,100.1279,241.7763,1426.21,18.83944,19.22537,51.45405,137.12,201.5363,106.0737,0.116667,4.583333,1.833333,0.783333,0.4,0.216667,0.05,0.1,3.6,1.8,0.716667,0.366667,0.233333,0.133333
0.007038,0.002151,-0.000356,0.0059145,-0.006305,-0.003765,-0.005654,0.007788,0.00321,-0.0024,0.0078555,-0.0004875,0.021508,-0.01519,1.1688415,0.087608,0.102179,0.1724215,0.2060335,0.274958,0.319566,1.9765225,0.093282,0.1251035,0.3097365,0.3903585,0.4220455,0.3334615,167.5774,91.85462,54.4457,207.297555,-33.7449,-73.0192,9.54161,261.29645,-166.9546,-542.43075,-148.678825,7.74729,-20.0373815,-22.1318,1.16829,0.0875665,0.1021305,0.17234,0.205936,0.2748285,0.3194145,1.9755935,0.093238,0.1250445,0.309591,0.390175,0.4218465,0.3333045,0.1650135,0.131169,0.0708635,0.0478235,0.031021,0.02249,0.0099835,0.1721735,0.129664,0.070597,0.0595275,0.04747,0.0287905,0.0139015,0.3919885,1.2362505,0.93483,0.5837115,0.5173585,0.336061,0.116899,0.2021975,1.227262,0.7731625,0.4629615,0.434296,0.2514745,0.1461535,1.506556,1.19096,0.8522625,0.526122,0.4139725,0.271786,0.112366,1.150576,1.1838945,0.663948,0.3733195,0.291256,0.1586775,0.127838,4.504627,6.498803,5.366172,5.373976,7.7417495,7.7530085,6.9673175,10.051715,-0.84779,-0.23751,-0.199605,-0.1379135,-0.179745,-0.479145,-0.0482785,0.238624,0.1845025,0.1000355,0.0767915,0.0567075,0.036676,0.0171215,599.42375,9.4077615,11.8692565,32.219435,45.10493,81.34684,137.29166,2522.9015,10.9024,16.67516,110.912975,164.49395,192.04785,121.8505,0.116667,5.0,1.75,0.625,0.375,0.2083335,0.0833335,0.0833335,5.1833335,1.275,0.5083335,0.3083335,0.175,0.1
0.000473,0.000401,0.000543,2.05e-06,0.006702,-0.00049,-0.01493,0.002899,-0.00093,0.001534,-0.0004,-0.00248,-0.01203,0.016534,0.423869,0.035088,0.041905,0.04825,0.116012,0.082556,0.092358,0.257725,0.036338,0.040157,0.04277,0.059758,0.133211,0.097483,895.3159,87.52368,77.22847,23508.59,17.3111,-166.849,-6.18654,88.91524,-39.2087,26.17932,-107.961,-24.1154,-11.0754,5.895748,0.423665,0.035071,0.041884,0.048226,0.115956,0.082516,0.092314,0.257601,0.03632,0.040137,0.042749,0.059729,0.133147,0.097435,0.062821,0.050674,0.026458,0.015417,0.015138,0.005509,0.002933,0.051399,0.044667,0.021945,0.012411,0.007113,0.006334,0.002269,0.413664,1.220763,0.81847,0.606639,0.349957,0.244045,0.10221,0.381285,1.066593,0.692115,0.584786,0.474185,0.168155,0.068331,1.839294,1.187252,0.752662,0.603276,0.290629,0.198138,0.097284,0.980391,0.793618,0.464398,0.491178,0.406351,0.175685,0.067747,2.877785,4.151766,4.669296,4.062618,6.73637,5.861118,6.942157,10.01542,-0.80337,-0.45655,-0.22807,-0.21739,-0.11955,0.005898,-0.54136,0.081169,0.06755,0.034375,0.019792,0.016726,0.008394,0.003708,126.7493,1.273843,1.811072,2.388232,13.81761,7.236889,9.087447,62.18913,1.36567,1.67003,1.894071,3.68095,18.39732,10.41054,0.066667,4.333333,1.6,0.833333,0.266667,0.133333,0.083333,0.083333,3.5,1.216667,0.716667,0.3,0.1,0.066667
0.007283,-0.00161,0.001088,0.00392,-0.00129,-0.00787,0.013402,0.004263,-0.00221,0.000342,0.002071,0.010772,-0.03633,0.010908,0.515059,0.05484,0.049368,0.067092,0.088818,0.144715,0.180028,0.653859,0.036387,0.038091,0.058051,0.195186,0.20981,0.109713,70.7235,-33.9877,45.35858,17.11346,-69.0659,-18.3769,13.43335,153.3622,-16.472,111.2886,28.03537,18.12005,-5.77499,10.05843,0.514823,0.054815,0.049345,0.067061,0.088777,0.144648,0.179946,0.65356,0.036371,0.038074,0.058024,0.195096,0.209714,0.109663,0.09164,0.077499,0.035445,0.022016,0.015615,0.011749,0.007039,0.061097,0.048527,0.026978,0.017466,0.017029,0.010249,0.002773,0.472659,1.08832,0.903411,0.556151,0.535037,0.323636,0.128984,0.179385,0.677566,0.486057,0.326312,0.169378,0.124803,0.052049,0.68869,0.728639,0.807337,0.496842,0.38049,0.23865,0.11361,0.249409,0.427041,0.244455,0.059534,0.042499,0.031901,0.014806,2.543927,3.670111,4.539675,3.318529,6.549366,4.787625,6.996681,10.09408,0.842191,0.200024,0.120665,0.248893,0.282437,0.193062,-0.01196,0.110139,0.091438,0.044544,0.028103,0.023104,0.015591,0.007566,242.2122,3.288777,2.659398,4.910522,8.614345,22.92066,35.95261,243.2426,1.448254,1.586487,3.680842,42.20802,45.53817,14.01208,0.116667,4.5,2.016667,0.833333,0.466667,0.216667,0.1,0.1,4.166667,1.916667,0.8,0.2,0.116667,0.066667
0.003555,0.00048,-0.00173,0.012937,-0.02155,0.07083,-0.05211,0.001838,-0.00241,0.004371,0.003886,-0.01316,-0.00606,-0.0299,1.060415,0.051497,0.073424,0.144938,0.268133,0.64834,0.341492,1.483717,0.072142,0.098767,0.113319,0.233922,0.520229,0.337454,298.2665,107.1883,-42.5565,11.20316,-12.4431,9.153417,-6.5536,807.4433,-29.9852,22.59495,29.15841,-17.7691,-85.845,-11.2874,1.059709,0.051463,0.073375,0.144841,0.267955,0.647908,0.341264,1.482729,0.072094,0.098701,0.113243,0.233766,0.519883,0.33723,0.116549,0.085696,0.052337,0.039149,0.035223,0.033853,0.011294,0.141827,0.108969,0.063367,0.036475,0.027126,0.029838,0.010819,0.200585,1.085322,0.783922,0.5054,0.331683,0.163179,0.109209,0.247734,1.068776,0.772094,0.591765,0.44756,0.21579,0.102375,1.360605,0.946686,0.694176,0.460443,0.158039,0.087288,0.102953,1.524955,1.021259,0.533773,0.604785,0.416546,0.185817,0.105589,4.680279,6.752215,5.126113,5.437163,7.395418,7.844168,6.621406,9.552669,0.705146,-0.1769,-0.00254,-0.32733,0.000254,0.070691,0.717346,0.183572,0.138629,0.082186,0.053508,0.044458,0.045126,0.015639,450.7812,1.998939,4.046074,15.76771,53.4978,307.4263,92.1776,594.5193,3.91151,7.326372,9.643995,40.25873,205.0655,86.86923,0.1,4.416667,1.3,0.416667,0.25,0.1,0.066667,0.083333,3.45,1.183333,0.616667,0.216667,0.1,0.066667
0.006994,-0.0003,-0.00082,0.002332,-0.00139,-0.01033,-0.00648,0.004779,0.001684,-0.00072,-0.00255,-0.00318,0.020483,-0.00272,0.485956,0.058572,0.076906,0.108612,0.163339,0.154819,0.180345,1.103856,0.048896,0.064474,0.097504,0.270382,0.299779,0.129047,69.48478,-195.293,-93.421,46.57358,-117.609,-14.9931,-27.8157,230.9574,29.03987,-89.2617,-38.2285,-84.9,14.63565,-47.4169,0.485737,0.058546,0.076872,0.108563,0.163266,0.154749,0.180263,1.103359,0.048874,0.064445,0.09746,0.27026,0.299644,0.128989,0.107719,0.08328,0.049738,0.033848,0.023121,0.012863,0.008215,0.105095,0.077716,0.044386,0.033629,0.029271,0.018747,0.00654,0.634375,1.204392,0.908989,0.618253,0.535032,0.349884,0.161762,0.263811,1.247841,0.976579,0.617935,0.388986,0.24213,0.187663,1.287681,1.117383,0.787533,0.565918,0.415649,0.328982,0.156575,1.257716,1.238869,0.885598,0.592085,0.288044,0.201197,0.183285,4.137216,5.968741,4.930617,5.462182,7.113377,7.880263,7.013016,10.11764,0.373168,0.064199,0.082979,0.210546,0.043526,0.361459,0.500433,0.150493,0.113909,0.066663,0.047714,0.037301,0.022735,0.010501,262.0555,3.812287,6.575471,13.10465,29.48713,26.89512,36.2694,448.4793,2.659979,4.619528,10.5465,82.65435,101.8193,18.42805,0.15,4.7,1.716667,0.85,0.383333,0.216667,0.133333,0.15,5.75,1.8,0.933333,0.233333,0.166667,0.15
0.009037,0.000592,0.000625,-0.00192,0.004069,-0.00163,0.018178,0.002061,-0.00107,-0.00024,0.000602,-0.00041,0.003443,0.002422,0.277691,0.031864,0.045876,0.074911,0.073583,0.097106,0.101704,0.070074,0.014187,0.011668,0.017156,0.025536,0.027791,0.02721,30.72971,53.85969,73.40183,-38.981,18.08534,-59.4875,5.595019,34.00539,-13.2776,-49.278,28.5123,-62.0816,8.07215,11.23462,0.277567,0.031849,0.045856,0.074877,0.07355,0.097062,0.101659,0.070042,0.01418,0.011663,0.017149,0.025525,0.027779,0.027198,0.056912,0.046263,0.024849,0.017131,0.008328,0.005951,0.003037,0.019363,0.016896,0.007294,0.004543,0.00264,0.001623,0.00075,0.61283,1.286605,0.828892,0.607027,0.461522,0.235589,0.093532,0.537408,1.126207,0.834517,0.569832,0.390448,0.221302,0.081549,1.496932,1.245243,0.755951,0.540529,0.427597,0.183279,0.093444,0.709123,0.978836,0.729632,0.489902,0.294463,0.192538,0.069683,1.862406,2.686883,4.458091,3.104419,6.431666,4.47873,7.021976,10.13057,0.523258,0.193725,0.203388,0.258902,0.089561,0.572704,-0.02948,0.060116,0.049252,0.025898,0.017723,0.008737,0.006169,0.003128,72.73506,1.138796,2.363548,6.28898,6.113648,10.80975,12.28026,5.396233,0.225405,0.152192,0.330535,0.743952,0.875522,0.843627,0.116667,4.766667,1.216667,0.566667,0.283333,0.166667,0.066667,0.116667,3.716667,1.633333,0.666667,0.233333,0.15,0.066667
0.002869,0.002691,0.004939,-0.00795,0.019258,-0.00858,0.01782,0.009647,-0.0015,-0.00141,-0.00949,0.008286,0.005917,-0.00084,1.113607,0.237686,0.133002,0.157615,0.38623,0.664477,0.201642,0.211634,0.058131,0.049601,0.129656,0.122123,0.131042,0.078949,388.1818,88.33326,26.92918,-19.8325,20.0553,-77.412,11.31534,21.93766,-38.872,-35.0845,-13.6687,14.73799,22.14714,-94.3555,1.113103,0.237578,0.132942,0.157543,0.386055,0.664176,0.201551,0.211538,0.058104,0.049579,0.129597,0.122067,0.130983,0.078914,0.295413,0.268223,0.086363,0.054434,0.055081,0.04745,0.009645,0.112029,0.087512,0.046424,0.044312,0.026756,0.012304,0.003907,0.178742,0.442169,0.501732,0.364255,0.270385,0.172545,0.130887,0.442216,0.776842,0.612232,0.197756,0.202284,0.147705,0.140207,0.694186,0.254071,0.393451,0.215019,0.133341,0.057141,0.068662,0.268213,0.372088,0.403329,0.143262,0.175874,0.129671,0.080751,2.916841,4.208112,5.052839,3.702229,7.289706,5.341188,7.007601,10.10983,0.07626,0.413437,0.252207,-0.00402,0.439316,-0.13353,-0.85688,0.315942,0.282138,0.09805,0.07019,0.061236,0.04902,0.010406,986.5687,62.42296,19.52576,27.41317,165.645,489.8564,45.82657,47.68121,3.741573,2.716778,18.35486,16.40243,19.08401,7.035217,0.166667,2.916667,1.85,0.616667,0.35,0.183333,0.1,0.316667,5.033333,2.516667,1.0,0.616667,0.216667,0.1
0.009334,-0.00015,-0.00119,0.004208,-0.03936,0.005852,-0.00256,0.003582,-0.00179,-9.4e-05,-0.00199,0.010892,0.003036,0.026712,0.61029,0.037655,0.050522,0.084279,0.295543,0.185948,0.176853,0.436643,0.04532,0.054469,0.079743,0.230487,0.315792,0.16642,65.38352,-248.741,-42.2808,20.02951,-7.50814,31.77444,-69.0185,121.8911,-25.3659,-579.251,-40.021,21.1606,104.0168,6.230235,0.609982,0.037636,0.050496,0.084236,0.295394,0.185854,0.176764,0.436423,0.045297,0.054442,0.079703,0.230371,0.315633,0.166336,0.083545,0.061026,0.036102,0.02717,0.029447,0.011916,0.005731,0.088235,0.066886,0.036481,0.025187,0.024347,0.019189,0.007153,0.337021,1.212257,0.856259,0.592104,0.260704,0.252601,0.105311,0.503917,1.119999,0.825455,0.613713,0.327137,0.236996,0.146176,2.095489,1.130711,0.789062,0.535327,0.176679,0.245612,0.106502,1.539499,0.876552,0.657985,0.559516,0.221578,0.231021,0.125282,3.464032,4.997541,4.779704,4.805966,6.895656,6.933543,6.898715,9.952741,0.038787,-0.01824,0.030633,-0.03742,0.307743,0.393557,0.029133,0.121512,0.090543,0.051325,0.037049,0.038208,0.022587,0.009165,275.5917,1.40935,2.530908,7.039592,84.82792,34.58563,31.09219,162.4355,2.038733,2.934594,6.29892,53.65683,101.0406,27.37295,0.15,5.233333,1.833333,0.766667,0.233333,0.15,0.083333,0.166667,4.433333,1.6,0.733333,0.216667,0.133333,0.1
