Variable,Mean,STD,p-value
Var1,0.005458879598540146,0.0030031363910110256,0.5262264300529524
Var2,0.00015161883211678833,0.0012821219456456607,0.5011677849466479
Var3,0.00040192215328467155,0.0037301167240329385,0.9241159006375617
Var4,0.000146843094890511,0.005374604008559397,0.9265550210933234
Var5,-0.002998072386861313,0.02138793973643765,0.9906725265886426
Var6,0.0021602991897810213,0.02394529786953599,0.6950312751481631
Var7,-0.0018428293868613134,0.02352467448090646,0.9330254443726591
Var8,0.004355392832116788,0.0028407312758064155,0.1692345416414178
Var9,0.001548838868613139,0.01833809794233407,0.6210200320395307
Var10,-0.000220448401459854,0.002680241564145455,0.6583845053201436
Var11,0.0015704311094890512,0.019594697680157553,0.6220667860381737
Var12,-0.0027796299708029194,0.028719890950700946,0.7399311113517195
Var13,3.937789051094845e-05,0.03254302721789376,0.9287429981286454
Var14,-0.007593925226277374,0.06726836768835605,0.9941018704258192
Var15,0.5309505927153284,0.3904272569142023,0.6672118321811616
Var16,0.05491881213138686,0.0851383835905296,0.8452603310399884
Var17,0.06613148075912409,0.11214459623817664,0.8224242394529611
Var18,0.09799582308029198,0.09479944786242508,0.9692865296546557
Var19,0.1694360198248175,0.1907680336205116,0.7446281450719826
Var20,0.20142435701459852,0.16830227012117321,0.6638266252523625
Var21,0.15266990727737226,0.12842870976688722,0.7465659657979963
Var22,0.804969891941606,0.6450169840339114,0.7642062925349056
Var23,0.06134836312408758,0.18108126828459878,0.7227402603864812
Var24,0.06462720789781022,0.09259206888165807,0.8183870642194664
Var25,0.1334603643649635,0.18136826485630603,0.6649313963133421
Var26,0.2624341500656935,0.2650384367460786,0.8611445748652309
Var27,0.3120863436058394,0.268929932595415,0.3287023726946515
Var28,0.256649600189781,0.25361588551117853,0.858158785988553
Var29,2948905109489397.0,3.4516049371757108e+16,0.7711962019202341
Var30,1239.1635034527005,15384.365255548691,0.20595650919123112
Var31,-28.873403526423377,1652.7554005276513,0.45731854089117163
Var32,30.373099524817526,2327.894015311372,0.998515955312458
Var33,-8.453887644525542,438.1191244634396,0.40429175287311114
Var34,-17.969857348321177,436.810979623754,0.6033241582703677
Var35,-48.425687954598544,361.77194461354827,0.855785450632679
Var36,405.74870698686135,696.7446149888589,0.9505752531039046
Var37,-20.377194652335767,253.59272635854504,0.016813803420922833
Var38,-13.856554026496353,493.48329070195484,0.5781799457569128
Var39,34.40518495167884,838.0618460044601,0.23859131882340598
Var40,-15.763824779635033,160.13334052312948,0.8891951278324532
Var41,11.621144011897808,123.82076181114427,0.3335402765345425
Var42,-13.79167383759124,81.57349994469045,0.7155147056521671
Var43,0.5305639737810219,0.3900540575649992,0.6665735523632098
Var44,0.05487489990510948,0.08501754699252315,0.8455046321449079
Var45,0.06607807143795622,0.11199596537864989,0.8227250561045019
Var46,0.09791896467883211,0.09468349843539695,0.9694799608277057
Var47,0.16930550153284668,0.1905364968456193,0.7450833106287575
Var48,0.20127768971532847,0.16815988025052211,0.6638080690859466
Var49,0.152571446,0.1283577844011178,0.7462617764010603
Var50,0.804401037058394,0.6445088761995414,0.7641117401000702
Var51,0.06129269454014598,0.1808038988347283,0.722893413980509
Var52,0.0645756848321168,0.09246001622036817,0.8185504702467645
Var53,0.13335297013868613,0.18112192349674078,0.6650456807001958
Var54,0.2622459473576642,0.26483224753708257,0.8613200312819159
Var55,0.311867422270073,0.2687438070372101,0.32852551132702673
Var56,0.2564736801532847,0.2534035544885732,0.8584530982141213
Var57,0.09788530870072994,0.08945412164885293,0.8587135407603629
Var58,0.0772905247080292,0.0783966581011,0.8708750728688244
Var59,0.042033259802919706,0.04249158711047923,0.8691566177604793
Var60,0.027584254978102192,0.01926498960330129,0.8767014119881188
Var61,0.02056445781021898,0.015603680169251679,0.8166843424153999
Var62,0.013237783693430656,0.0099275910184704,0.47172670096972535
Var63,0.005655688656934306,0.004568609276046069,0.5804553386768874
Var64,0.10177422681021898,0.10856333297429499,0.8676734494434875
Var65,0.07798318209489051,0.1016817842434938,0.8451246413589648
Var66,0.03907711912408759,0.029611718690030257,0.785636356321853
Var67,0.03086669858394161,0.023667741496609607,0.7917999540851044
Var68,0.02717770004379562,0.022068179060275913,0.8979180268611506
Var69,0.01784583398540146,0.015186789477834719,0.28876044433991765
Var70,0.007916091576642336,0.006777930163765073,0.8300958064546374
Var71,0.5470106353357663,0.1991919889021464,0.7331337722590805
Var72,1.1443870452262772,0.14348015388794313,0.8642295979079919
Var73,0.8615343456131387,0.1271620821877131,0.43433785833878114
Var74,0.572024092510949,0.0769837951644229,0.6799252053853437
Var75,0.45691479404379565,0.0880186502424673,0.2910357722504414
Var76,0.26999810928467155,0.07806710001068577,0.5298123447138632
Var77,0.11686001183941606,0.04925497278753836,0.23624206604232056
